"Date","Price","Open","High","Low","Change %"
"Jun 28, 1985","1.3095","1.3095","1.3095","1.3095","1.35%"
"Jun 27, 1985","1.2920","1.2920","1.2920","1.2920","-0.46%"
"Jun 26, 1985","1.2980","1.2980","1.2980","1.2980","1.01%"
"Jun 25, 1985","1.2850","1.2850","1.2850","1.2850","-0.16%"
"Jun 24, 1985","1.2870","1.2870","1.2870","1.2870","0.00%"
"Jun 21, 1985","1.2870","1.2870","1.2870","1.2870","0.79%"
"Jun 20, 1985","1.2769","1.2769","1.2769","1.2769","-2.27%"
"Jun 19, 1985","1.3065","1.3065","1.3065","1.3065","0.58%"
"Jun 18, 1985","1.2990","1.2990","1.2990","1.2990","1.56%"
"Jun 17, 1985","1.2790","1.2790","1.2790","1.2790","-0.08%"
"Jun 14, 1985","1.2800","1.2800","1.2800","1.2800","1.19%"
"Jun 13, 1985","1.2650","1.2650","1.2650","1.2650","-0.12%"
"Jun 12, 1985","1.2665","1.2665","1.2665","1.2665","0.33%"
"Jun 11, 1985","1.2623","1.2623","1.2623","1.2623","0.42%"
"Jun 10, 1985","1.2570","1.2570","1.2570","1.2570","-0.87%"
"Jun 07, 1985","1.2680","1.2680","1.2680","1.2680","-0.24%"
"Jun 06, 1985","1.2710","1.2710","1.2710","1.2710","1.15%"
"Jun 05, 1985","1.2565","1.2565","1.2565","1.2565","-1.53%"
"Jun 04, 1985","1.2760","1.2760","1.2760","1.2760","-1.43%"
"Jun 03, 1985","1.2945","1.2945","1.2945","1.2945","0.66%"
"May 31, 1985","1.2860","1.2860","1.2860","1.2860","0.98%"
"May 30, 1985","1.2735","1.2735","1.2735","1.2735","0.55%"
"May 29, 1985","1.2665","1.2665","1.2665","1.2665","1.20%"
"May 28, 1985","1.2515","1.2515","1.2515","1.2515","-0.56%"
"May 24, 1985","1.2585","1.2585","1.2585","1.2585","-0.04%"
"May 23, 1985","1.2590","1.2590","1.2590","1.2590","-0.36%"
"May 22, 1985","1.2635","1.2635","1.2635","1.2635","-0.63%"
"May 21, 1985","1.2715","1.2715","1.2715","1.2715","-0.86%"
"May 20, 1985","1.2825","1.2825","1.2825","1.2825","1.38%"
"May 17, 1985","1.2650","1.2650","1.2650","1.2650","0.48%"
"May 16, 1985","1.2590","1.2590","1.2590","1.2590","-0.28%"
"May 15, 1985","1.2625","1.2625","1.2625","1.2625","-0.86%"
"May 14, 1985","1.2735","1.2735","1.2735","1.2735","1.60%"
"May 13, 1985","1.2535","1.2535","1.2535","1.2535","1.62%"
"May 10, 1985","1.2335","1.2335","1.2335","1.2335","-0.35%"
"May 09, 1985","1.2378","1.2378","1.2378","1.2378","2.51%"
"May 08, 1985","1.2075","1.2075","1.2075","1.2075","-0.86%"
"May 07, 1985","1.2180","1.2180","1.2180","1.2180","2.53%"
"May 06, 1985","1.1880","1.1880","1.1880","1.1880","-1.57%"
"May 03, 1985","1.2070","1.2070","1.2070","1.2070","-1.11%"
"May 02, 1985","1.2205","1.2205","1.2205","1.2205","-0.25%"
"May 01, 1985","1.2235","1.2235","1.2235","1.2235","-1.41%"
"Apr 30, 1985","1.2410","1.2410","1.2410","1.2410","0.89%"
"Apr 29, 1985","1.2300","1.2300","1.2300","1.2300","1.15%"
"Apr 26, 1985","1.2160","1.2160","1.2160","1.2160","1.04%"
"Apr 25, 1985","1.2035","1.2035","1.2035","1.2035","-2.15%"
"Apr 24, 1985","1.2300","1.2300","1.2300","1.2300","-1.76%"
"Apr 23, 1985","1.2520","1.2520","1.2520","1.2520","-2.03%"
"Apr 22, 1985","1.2780","1.2780","1.2780","1.2780","-1.16%"
"Apr 19, 1985","1.2930","1.2930","1.2930","1.2930","-0.04%"
"Apr 18, 1985","1.2935","1.2935","1.2935","1.2935","1.55%"
"Apr 17, 1985","1.2738","1.2738","1.2738","1.2738","-0.29%"
"Apr 16, 1985","1.2775","1.2775","1.2775","1.2775","0.16%"
"Apr 15, 1985","1.2755","1.2755","1.2755","1.2755","1.67%"
"Apr 12, 1985","1.2545","1.2545","1.2545","1.2545","0.28%"
"Apr 11, 1985","1.2510","1.2510","1.2510","1.2510","2.96%"
"Apr 10, 1985","1.2150","1.2150","1.2150","1.2150","0.41%"
"Apr 09, 1985","1.2100","1.2100","1.2100","1.2100","0.75%"
"Apr 08, 1985","1.2010","1.2010","1.2010","1.2010","0.21%"
"Apr 05, 1985","1.1985","1.1985","1.1985","1.1985","0.42%"
"Apr 04, 1985","1.1935","1.1935","1.1935","1.1935","-1.89%"
"Apr 03, 1985","1.2165","1.2165","1.2165","1.2165","0.95%"
"Apr 02, 1985","1.2050","1.2050","1.2050","1.2050","-1.35%"
"Apr 01, 1985","1.2215","1.2215","1.2215","1.2215","-1.17%"
"Mar 29, 1985","1.2360","1.2360","1.2360","1.2360","0.73%"
"Mar 28, 1985","1.2270","1.2270","1.2270","1.2270","-0.85%"
"Mar 27, 1985","1.2375","1.2375","1.2375","1.2375","4.70%"
"Mar 26, 1985","1.1820","1.1820","1.1820","1.1820","0.94%"
"Mar 25, 1985","1.1710","1.1710","1.1710","1.1710","-0.13%"
"Mar 22, 1985","1.1725","1.1725","1.1725","1.1725","-1.22%"
"Mar 21, 1985","1.1870","1.1870","1.1870","1.1870","3.13%"
"Mar 20, 1985","1.1510","1.1510","1.1510","1.1510","1.37%"
"Mar 19, 1985","1.1355","1.1355","1.1355","1.1355","2.67%"
"Mar 18, 1985","1.1060","1.1060","1.1060","1.1060","2.03%"
"Mar 15, 1985","1.0840","1.0840","1.0840","1.0840","0.32%"
"Mar 14, 1985","1.0805","1.0805","1.0805","1.0805","-0.51%"
"Mar 13, 1985","1.0860","1.0860","1.0860","1.0860","-0.23%"
"Mar 12, 1985","1.0885","1.0885","1.0885","1.0885","0.00%"
"Mar 11, 1985","1.0885","1.0885","1.0885","1.0885","2.30%"
"Mar 08, 1985","1.0640","1.0640","1.0640","1.0640","-0.32%"
"Mar 07, 1985","1.0674","1.0674","1.0674","1.0674","-0.43%"
"Mar 06, 1985","1.0720","1.0720","1.0720","1.0720","1.66%"
"Mar 05, 1985","1.0545","1.0545","1.0545","1.0545","-1.24%"
"Mar 04, 1985","1.0677","1.0677","1.0677","1.0677","-0.40%"
"Mar 01, 1985","1.0720","1.0720","1.0720","1.0720","-0.65%"
